name,lat,lon,flag
西北工业大学 图书馆,34.244559981147646,108.91098601380186,True
西北工业大学图书馆,34.244557141089594,108.90995283516376,True
沉香亭,34.25506365,108.98074045,True
长安大学图书馆,34.23296418989827,108.95052920775017,True
西安市群众艺术馆,34.24075692510753,108.95081210688892,True
西北大学博物馆,34.25183812565059,108.92121395724372,True
大雄宝殿,34.24013225,108.93736865,True
陕西省美术博物馆,34.23270684533294,108.93966974958236,True
陕西省图书馆,34.233143699871874,108.94086000027258,True
白衣阁,34.24116113830366,108.93735361274344,True
小雁塔,34.24080310737952,108.9373482494569,True
陕西书画院,34.23456411371094,108.95963497841028,True
西安建筑科技大学校史馆,34.23924854191152,108.96388557127652,True
霸陵,34.23808822520406,109.11082294759822,True
西安大剧院,34.270256999178955,108.9276133855942,True
文殊台,34.26979944945365,108.92608529587804,True
南五台景区,34.2697762396005,108.92700979582716,True
西安卧佛寺,34.2698044064575,108.92364550189862,True
天王殿,34.26976892433885,108.92723685793382,True
陕西大剧院,34.25046861041563,108.95072637866484,True
僧院,34.27656078336118,108.92147524291028,True
关公殿,34.27648814395056,108.92093867645106,True
藏经阁,34.276836888064466,108.92112569011653,True
钟楼,34.27600195,108.9213085,True
千佛殿,34.27661161701579,108.92113542012072,True
寺管会,34.27603153375143,108.9214809889557,True
秦渡规划展览馆,34.11029219499057,108.74128160214757,True
禹王殿,34.364586825591196,109.20765089047076,True
