name,lat,lon,flag,citycode,cityname,adcode,adname,business_area,type
西安碑林石刻艺术馆,34.25575087,108.9488175,TRUE,29,西安市,610103,碑林区,环城南路,科教文化服务;展览馆;展览馆
景云钟,34.25476752,108.9484145,TRUE,29,西安市,610103,碑林区,南院门,风景名胜;风景名胜相关;旅游景点
陕西文物图书中心,34.25640493,108.9484233,TRUE,29,西安市,610103,碑林区,东木头市,商务住宅;楼宇;商务写字楼
西安图书馆,34.25388714,108.9951005,TRUE,29,西安市,610103,碑林区,长安路,科教文化服务;图书馆;图书馆
万寿寺塔,34.25730009,109.0089143,TRUE,29,西安市,610112,未央区,西咸新区,风景名胜;风景名胜相关;旅游景点
陕西广电大剧院,34.20735404,108.9711926,TRUE,29,西安市,610113,雁塔区,长安路,体育休闲服务;影剧院;剧场
蔡家坡村史馆,34.022066,108.6322875,TRUE,29,西安市,610118,鄠邑区,[],科教文化服务;展览馆;展览馆
西北工业大学 图书馆,34.24455998,108.910986,TRUE,29,西安市,610103,碑林区,[],科教文化服务;图书馆;图书馆
西北工业大学图书馆,34.24455714,108.9099528,TRUE,29,西安市,610103,碑林区,[],科教文化服务;图书馆;图书馆
沉香亭,34.25506365,108.9807405,TRUE,29,西安市,610103,碑林区,[],风景名胜;风景名胜相关;旅游景点
长安大学图书馆,34.23296419,108.9505292,TRUE,29,西安市,610103,碑林区,文艺路,科教文化服务;图书馆;图书馆
西安市群众艺术馆,34.24075693,108.9508121,TRUE,29,西安市,610103,碑林区,文艺路,科教文化服务;美术馆;美术馆
西北大学博物馆,34.25183813,108.921214,TRUE,29,西安市,610103,碑林区,环城南路,科教文化服务;博物馆;博物馆
大雄宝殿,34.24013225,108.9373687,TRUE,29,西安市,610103,碑林区,东门外,风景名胜;风景名胜;寺庙道观
陕西省美术博物馆,34.23270685,108.9396697,TRUE,29,西安市,610103,碑林区,长安路,科教文化服务;博物馆;博物馆
陕西省图书馆,34.2331437,108.94086,TRUE,29,西安市,610103,碑林区,长安路,科教文化服务;图书馆;图书馆
白衣阁,34.24116114,108.9373536,TRUE,29,西安市,610103,碑林区,长安路,风景名胜;风景名胜相关;旅游景点
小雁塔,34.24080311,108.9373482,TRUE,29,西安市,610103,碑林区,长安路,风景名胜;风景名胜;国家级景点
陕西书画院,34.23456411,108.959635,TRUE,29,西安市,610103,碑林区,[],科教文化服务;培训机构;培训机构
西安建筑科技大学校史馆,34.23924854,108.9638856,TRUE,29,西安市,610103,碑林区,太乙路,科教文化服务;展览馆;展览馆
霸陵,34.23808823,109.1108229,TRUE,29,西安市,610111,灞桥区,[],生活服务;丧葬设施;公墓
西安大剧院,34.137043,108.828379,TRUE,29,西安市,610113,高新区,[],体育休闲服务;影剧院;剧场
文殊台,34.26979945,108.9260853,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜;风景名胜
南五台景区,34.26977624,108.9270098,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜;省级景点
西安卧佛寺,34.26980441,108.9236455,TRUE,29,西安市,610116,长安区,[],风景名胜;风景名胜;寺庙道观
天王殿,34.26976892,108.9272369,TRUE,29,西安市,610111,灞桥区,[],风景名胜;风景名胜;寺庙道观
陕西大剧院,34.25046861,108.9507264,TRUE,29,西安市,610113,雁塔区,[],体育休闲服务;影剧院;剧场
僧院,34.27656078,108.9214752,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜;寺庙道观
关公殿,34.27648814,108.9209387,TRUE,29,西安市,610104,莲湖区,[],风景名胜;风景名胜;风景名胜
藏经阁,34.27683689,108.9211257,TRUE,29,西安市,610104,莲湖区,[],风景名胜;风景名胜相关;旅游景点
钟楼,34.27600195,108.9213085,TRUE,29,西安市,610104,莲湖区,[],风景名胜;风景名胜;风景名胜
千佛殿,34.27661162,108.9211354,TRUE,29,西安市,610104,莲湖区,[],风景名胜;风景名胜;风景名胜
寺管会,34.27603153,108.921481,TRUE,29,西安市,610122,蓝田县,[],政府机构及社会团体;社会团体;社会团体相关
秦渡规划展览馆,34.11029219,108.7412816,TRUE,29,西安市,610113,雁塔区,[],科教文化服务;科教文化场所;科教文化场所
禹王殿,34.36458683,109.2076509,TRUE,29,西安市,610115,临潼区,骊山,风景名胜;风景名胜;风景名胜
紫云楼,34.21405502,108.9690726,TRUE,29,西安市,610113,雁塔区,[],风景名胜;风景名胜相关;旅游景点
西安市鄠邑区文化馆,34.2114524,108.9698602,TRUE,29,西安市,610118,鄠邑区,[],科教文化服务;文化宫;文化宫
